RBD,PAGO_MATRICULA2020,PAGO_MENSUAL2020,PAGO_MATRICULA2021,PAGO_MENSUAL2021,PAGO_MATRICULA2022,PAGO_MENSUAL2022,PAGO_MATRICULA2023,PAGO_MENSUAL2023,RURAL
24903,GRATUITO,$50.001 A $100.000,SIN INFORMACION,SIN INFORMACION,GRATUITO,$50.001 A $100.000,SIN INFORMACION,SIN INFORMACION,0.0
20299,$1.000 A $10.000,$50.001 A $100.000,GRATUITO,$50.001 A $100.000,GRATUITO,MAS DE $100.000,GRATUITO,GRATUITO,1.0
20232,GRATUITO,GRATUITO,$1.000 A $10.000,$50.001 A $100.000,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,0.0
6188,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$50.001 A $100.000,GRATUITO,GRATUITO,1.0
13610,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$1.000 A $10.000,$50.001 A $100.000,GRATUITO,$50.001 A $100.000,0.0
11157,$50.001 A $100.000,$50.001 A $100.000,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,0.0
25541,GRATUITO,GRATUITO,$50.001 A $100.000,$50.001 A $100.000,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,0.0
20464,GRATUITO,GRATUITO,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,GRATUITO,$50.001 A $100.000,0.0
9960,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$50.001 A $100.000,$50.001 A $100.000,$1.000 A $10.000,$50.001 A $100.000,0.0
1580,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
3110,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
10901,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,0.0
20505,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$50.001 A $100.000,$50.001 A $100.000,0.0
9135,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1264,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
11993,GRATUITO,$10.001 A $25.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
14675,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,1.0
3899,GRATUITO,GRATUITO,GRATUITO,$10.001 A $25.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
10726,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
4307,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$10.001 A $25.000,GRATUITO,GRATUITO,0.0
41846,GRATUITO,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,0.0
15593,GRATUITO,$50.001 A $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
40436,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
7544,GRATUITO,GRATUITO,GRATUITO,$50.001 A $100.000,GRATUITO,GRATUITO,GRATUITO,$25.001 A $50.000,0.0
16507,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,0.0
24795,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$50.001 A $100.000,GRATUITO,GRATUITO,0.0
9183,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
16722,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
3138,GRATUITO,$10.001 A $25.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
24206,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,$50.001 A $100.000,0.0
350,GRATUITO,GRATUITO,GRATUITO,$10.001 A $25.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,1.0
